REGION, INSTITUTION NAME, INSTITUTION TYPE, PROVINCE, MUNICIPALITY/CITY
01 - Ilocos Region,Don Mariano Marcos Memorial State University-South La Union,SUC Satellite,La Union,Agoo
01 - Ilocos Region,Polytechnic College of La union,Private HEI,La Union,Agoo
01 - Ilocos Region,Philippine College of Northwestern Luzon,Private HEI,La Union,Agoo
01 - Ilocos Region,The Great Plebeian College,Private HEI,Pangasinan,Alaminos City
01 - Ilocos Region,Pangasinan State University-Alaminos City,SUC Satellite,Pangasinan,Alaminos City
01 - Ilocos Region,Pass College,Private HEI,Pangasinan,Alaminos City
01 - Ilocos Region,Golden West Colleges,Private HEI,Pangasinan,Alaminos City
01 - Ilocos Region,Colegio San Jose De Alaminos,Private HEI,Pangasinan,Alaminos City
01 - Ilocos Region,Asbury College,Private HEI,Pangasinan,Anda
01 - Ilocos Region,South Ilocandia College of Arts and Technology,Private HEI,La Union,Aringay
01 - Ilocos Region,Pangasinan State University-Asingan,SUC Satellite,Pangasinan,Asingan
01 - Ilocos Region,Mary Cause of Our Joy College Seminary,Private HEI,Ilocos Norte,Bacarra
01 - Ilocos Region,Don Mariano Marcos Memorial State University-North La Union-Main Campus,SUC Main,La Union,Bacnotan
01 - Ilocos Region,Osias Educational Foundation,Private HEI,La Union,Balaoan
01 - Ilocos Region,Ilocos Sur Community College,LUC,Ilocos Sur,Bantay
01 - Ilocos Region,Saint Paul College of Ilocos Sur,Private HEI,Ilocos Sur,Bantay
01 - Ilocos Region,Mariano Marcos State University-Main,SUC Main,Ilocos Norte,Batac City
01 - Ilocos Region,La Union College of Science and Technology,Private HEI,La Union,Bauang
01 - Ilocos Region,Pangasinan State University-Bayambang,SUC Satellite,Pangasinan,Bayambang
01 - Ilocos Region,Philippine Darakbang Theological College,Private HEI,Pangasinan,Binalonan
01 - Ilocos Region,University of Eastern Pangasinan,LUC,Pangasinan,Binalonan
01 - Ilocos Region,WCC Aeronautical & Technological College,Private HEI,Pangasinan,Binalonan
01 - Ilocos Region,Pangasinan State University-Binmaley,SUC Satellite,Pangasinan,Binmaley
01 - Ilocos Region,Philippine College of Science and Technology,Private HEI,Pangasinan,Calasiao City
01 - Ilocos Region,Señor Tesoro College,Private HEI,Pangasinan,Calasiao City
01 - Ilocos Region,AMA Computer College-Pangasinan,Private HEI,Pangasinan,Calasiao City
01 - Ilocos Region,Ilocos Sur Polytechnic State College-Candon,SUC Satellite,Ilocos Sur,Candon City
